l_vel X,l_vel Y,l_vel Z,t
-0.18916575610637665,-0.0902327373623848,0.05363836511969566,236
-0.20799890160560608,-0.07148540765047073,0.05449506267905235,237
-0.2245907485485077,-0.05267024412751198,0.06341474503278732,238
-0.24252326786518097,-0.034784357994794846,0.0706750899553299,239
-0.25864964723587036,-0.015456101857125759,0.09780266135931015,240
-0.27495911717414856,0.002879405627027154,0.11701145023107529,241
-0.28917157649993896,0.016708042472600937,0.09947642683982849,242
-0.3020528256893158,0.02990979142487049,0.09367561340332031,243
-0.3153128921985626,0.04293085262179375,0.09333405643701553,244
-0.326642781496048,0.05623715743422508,0.10236888378858566,245
-0.3383714556694031,0.06699342280626297,0.09761815518140793,246
-0.34897321462631226,0.07880731672048569,0.11322982609272003,247
-0.35863634943962097,0.08772468566894531,0.11278223246335983,248
-0.36720821261405945,0.0957324281334877,0.11643695086240768,249
-0.3742412030696869,0.10192938894033432,0.10253553837537766,250
-0.38055676221847534,0.10695303976535797,0.10248946398496628,251
-0.3849344253540039,0.11210134625434875,0.12238914519548416,252
-0.3895617425441742,0.11513286083936691,0.11151239275932312,253
-0.39113301038742065,0.11741495877504349,0.12188684940338135,254
-0.3923528790473938,0.11896976083517075,0.13745500147342682,255
-0.39141955971717834,0.12056902796030045,0.15698471665382385,256
-0.3894752562046051,0.12100642174482346,0.16873036324977875,257
-0.3862183392047882,0.11916991323232651,0.17735296487808228,258
-0.3837363123893738,0.11703841388225555,0.1698567420244217,259
-0.37895190715789795,0.11323340237140656,0.16532443463802338,260
-0.370929479598999,0.10858896374702454,0.18165849149227142,261
-0.3630274832248688,0.10321667045354843,0.1795339286327362,262
-0.3520730137825012,0.09675907343626022,0.17904029786586761,263
-0.33939310908317566,0.0897073745727539,0.1754102259874344,264
-0.32683685421943665,0.081684410572052,0.1497400403022766,265
-0.31242096424102783,0.07194120436906815,0.11620690673589706,266
-0.2952706515789032,0.06139040365815163,0.08453021198511124,267
-0.2743721902370453,0.050164345651865005,0.0548940971493721,268
-0.25007033348083496,0.037542421370744705,0.029479799792170525,269
-0.22038805484771729,0.025593964383006096,0.018413186073303223,270
-0.19335144758224487,0.013260159641504288,-0.0219738706946373,271
